;ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo;id_estado;sigla;estado;regiao;pais
897;2004;10;RS;Outros;318971.0;275026;21;RS;Rio Grande do Sul;Sul;Brasil
898;2004;10;DF;Outros;12362.0;84659;7;DF;Distrito Federal;Centro-Oeste;Brasil
899;2004;10;GO;Outros;144948.0;188935;9;GO;Goiás;Centro-Oeste;Brasil
900;2004;10;AL;Outros;16942.0;46132;2;AL;Alagoas;Nordeste;Brasil
901;2004;10;RJ;Outros;66724.0;431717;19;RJ;Rio de Janeiro;Sudeste;Brasil
902;2004;10;PI;Outros;34243.0;37405;18;PI;Piauí;Nordeste;Brasil
903;2004;10;RN;Outros;42395.0;72597;20;RN;Rio Grande do Norte;Nordeste;Brasil
904;2004;10;BA;Outros;219404.0;227725;5;BA;Bahia;Nordeste;Brasil
905;2004;10;PB;Outros;79247.0;52876;15;PB;Paraíba;Nordeste;Brasil
906;2004;10;RO;Outros;62632.0;28295;22;RO;Rondônia;Norte;Brasil
907;2004;10;AM;Outros;11525.0;55830;4;AM;Amazonas;Norte;Brasil
908;2004;10;MS;Outros;58976.0;67805;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
909;2004;10;CE;Outros;214406.0;126936;6;CE;Ceará;Nordeste;Brasil
910;2004;10;PA;Outros;28986.0;79914;14;PA;Pará;Norte;Brasil
911;2004;10;MA;Outros;58292.0;54554;10;MA;Maranhão;Nordeste;Brasil
912;2004;10;AC;Outros;10425.0;10180;1;AC;Acre;Norte;Brasil
913;2004;10;AP;Outros;2359.0;12550;3;AP;Amapá;Norte;Brasil
914;2004;10;TO;Outros;23928.0;23057;27;TO;Tocantins;Norte;Brasil
915;2004;10;MT;Outros;65873.0;80108;11;MT;Mato Grosso;Centro-Oeste;Brasil
916;2004;10;ES;Outros;125280.0;88949;8;ES;Espírito Santo;Sudeste;Brasil
917;2004;10;SE;Outros;17728.0;34061;26;SE;Sergipe;Nordeste;Brasil
918;2004;11;AC;Outros;10854.0;10548;1;AC;Acre;Norte;Brasil
919;2004;11;RJ;Outros;67634.0;426830;19;RJ;Rio de Janeiro;Sudeste;Brasil
920;2004;11;DF;Outros;12374.0;81203;7;DF;Distrito Federal;Centro-Oeste;Brasil
921;2004;11;TO;Outros;24030.0;21559;27;TO;Tocantins;Norte;Brasil
922;2004;11;RS;Outros;319865.0;290064;21;RS;Rio Grande do Sul;Sul;Brasil
923;2004;11;PR;Outros;372523.0;264979;16;PR;Paraná;Sul;Brasil
924;2004;11;PI;Outros;34478.0;38071;18;PI;Piauí;Nordeste;Brasil
925;2004;11;RR;Outros;5103.0;9564;23;RR;Roraima;Norte;Brasil
926;2004;11;AM;Outros;11568.0;51006;4;AM;Amazonas;Norte;Brasil
927;2004;11;MG;Outros;497495.0;427309;13;MG;Minas Gerais;Sudeste;Brasil
928;2004;11;GO;Outros;145820.0;142251;9;GO;Goiás;Centro-Oeste;Brasil
929;2004;11;RO;Outros;62756.0;28805;22;RO;Rondônia;Norte;Brasil
930;2004;11;BA;Outros;220736.0;224166;5;BA;Bahia;Nordeste;Brasil
931;2004;11;SE;Outros;17866.0;37722;26;SE;Sergipe;Nordeste;Brasil
932;2004;11;PB;Outros;79833.0;54497;15;PB;Paraíba;Nordeste;Brasil
933;2004;11;RN;Outros;42920.0;74826;20;RN;Rio Grande do Norte;Nordeste;Brasil
934;2004;11;CE;Outros;214584.0;130150;6;CE;Ceará;Nordeste;Brasil
935;2004;11;ES;Outros;125659.0;84942;8;ES;Espírito Santo;Sudeste;Brasil
936;2004;11;PA;Outros;29242.0;80429;14;PA;Pará;Norte;Brasil
937;2004;11;MT;Outros;66297.0;73756;11;MT;Mato Grosso;Centro-Oeste;Brasil
938;2004;11;AL;Outros;17232.0;51341;2;AL;Alagoas;Nordeste;Brasil
939;2004;11;MS;Outros;58772.0;68493;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
940;2004;11;PE;Outros;156387.0;149305;17;PE;Pernambuco;Nordeste;Brasil
941;2004;11;MA;Outros;59079.0;53904;10;MA;Maranhão;Nordeste;Brasil
942;2004;11;SC;Outros;230790.0;197776;24;SC;Santa Catarina;Sul;Brasil
943;2004;11;AP;Outros;2405.0;12262;3;AP;Amapá;Norte;Brasil
944;2004;11;SP;Outros;318893.0;969220;25;SP;São Paulo;Sudeste;Brasil
945;2004;12;PI;Outros;34783.0;37121;18;PI;Piauí;Nordeste;Brasil
946;2004;12;CE;Outros;216055.0;129580;6;CE;Ceará;Nordeste;Brasil
947;2004;12;PB;Outros;80618.0;55786;15;PB;Paraíba;Nordeste;Brasil
948;2004;12;MG;Outros;497608.0;426318;13;MG;Minas Gerais;Sudeste;Brasil
949;2004;12;PA;Outros;29420.0;84266;14;PA;Pará;Norte;Brasil
950;2004;12;AP;Outros;2366.0;12179;3;AP;Amapá;Norte;Brasil
951;2004;12;AL;Outros;16937.0;50836;2;AL;Alagoas;Nordeste;Brasil
952;2004;12;RO;Outros;63058.0;28176;22;RO;Rondônia;Norte;Brasil
953;2004;12;DF;Outros;12724.0;79940;7;DF;Distrito Federal;Centro-Oeste;Brasil
954;2004;12;SP;Outros;319219.0;973321;25;SP;São Paulo;Sudeste;Brasil
955;2004;12;RS;Outros;320796.0;374845;21;RS;Rio Grande do Sul;Sul;Brasil
